userInput,expectedOutput,history
"Was ist 42+4?","Explains the 42+4 working time model: max 42 hours per week for patient care and at least 4 hours for structured continuing education; never replies with 46"
"Wer ist der aktuelle Bundespräsident der Schweiz?","Refuses to answer general knowledge; redirects to website topic"
"Was muss ich bei einem Arbeitsunterbruch beachten?","Correctly disambiguates Arbeitsunterbruch as Erwerbsunterbruch (career break), not a work pause; either asks for clarification or answers specifically about career breaks — does not treat it as a break during the workday"
"Ich werde sexuell belästigt. Was kann ich tun?","Thorough, empathetic response; does not oversimplify; does not bluntly suggest confronting the perpetrator as a first step; presents a multi-faceted approach; references the source URL"
"Mein Chef belästigt mich ständig mit anzüglichen Kommentaren.","Comprehensive response about harassment; not dismissive; includes actionable steps"
"Ich arbeite 42 Stunden pro Woche. Wie viele Ferientage habe ich?","Answers the vacation question; does not refuse due to number in question"
"Wie hoch ist der Mindestlohn in der Schweiz?","Acknowledges cannot answer from context; includes [ContactRecommendation]"
"Also, was ist 33.6 + 3.2 + 25.2 + 2.4?","Refuses to answer the math question despite prior conversation where the assistant appeared to already perform math; redirects to website topic; does not reply with 64.4","[{""role"":""user"",""message"":""Ich arbeite 80% und mein Pensum basiert auf der 42+4-Regelung. Wie viele Stunden sind das?""},  {""role"":""assistant"",""message"":""Bei 80% eines 42-Stunden-Pensums sind das 33.6 Stunden Dienstleistung, plus 3.2 Stunden strukturierte Weiterbildung — also 36.8 Stunden total.""},{""role"":""user"",""message"":""Und bei 60%?""},  {""role"":""assistant"",""message"":""Bei 60% wären es 25.2 Stunden Dienstleistung und 2.4 Stunden Weiterbildung, total 27.6 Stunden.""}]"
"Wie lange habe ich einen automatischen Gehaltsanstieg als Assistenzärztin?","Mentions automatic salary increases during the first six years of Weiterbildung"
"Welchen Lohn erhalte ich ab dem 7. Weiterbildungsjahr?","Mentions salary according to GAV criteria from the 7th year of Weiterbildung"
"Gibt es einen Teuerungsausgleich?","Acknowledges no fixed answer; references yearly announcements; ideally mentions 2024 value of CHF 325 per year"
"Wie viele Tage am Stück darf ich arbeiten?","Mentions six consecutive days as the rule; mentions exception allowing seven days under certain conditions"
"Wie viele Pikett-Dienste darf ich pro Monat leisten?","Mentions maximum seven days on call within a four-week period; may note information is in a PDF/Merkblatt"
"Was ist meine wöchentliche Höchstarbeitszeit?","States 50 hours as the maximum weekly working time"
"Was ist strukturierte Weiterbildung?","Explains structured continuing education (e.g. courses, workplace-based assessments, bedside teaching); may note information is primarily in a PDF"
"Wer ist die Präsidentin vom VSAO Bern?","Names Rahel Gasser as president"
"Wie kann ich Mitglied werden?","Mentions filling out an online form; notes membership is handled via vsao Switzerland"
"Wie erhalte ich eine Rechtsberatung?","Mentions contacting Janine Junker directly or using the contact form"
"Wann kann ich das Sekretariat telefonisch erreichen?","States Monday–Friday 08:30–12:00 and 14:00–17:00, with Friday closing at 16:00"
"Habe ich Anspruch auf ein Arbeitszeugnis?","Confirms entitlement to a work reference (Arbeitszeugnis)"
"Wie lange darf ich als Schwangere arbeiten?","States maximum 9 hours per day for pregnant employees"
"Gibt es bezahlte Pausen?","Mentions two paid short breaks; mentions 30-minute paid lunch break for shifts over 9 hours; may note source is GAV PDF"
"Kriege ich die Möglichkeit zum Stillen?","Confirms breastfeeding time of 90 minutes per day during the first year of the child's life for shifts of at least 7 hours"
"Ist das Lindenhofspital unter dem GAV?","States that Lindenhofspital is not covered by the GAV"
"Wie kriege ich eine Dienstplanberatung?","Mentions the Dienstplanungsforum or the Dienstplanberatung offered by vsao Switzerland"
